"Panamá (PA)",			"BuyerBank",	"Masivian SAS"
"Panamá (PA)",			"BoughtBank",	"Prisma"
"Panamá (PA)",			"BoughtBank",	"Medallia"
"Panamá (PA)",			"BoughtBank",	"GEMM"
"Panamá (PA)",			"BoughtBank",	"CIC"
"Panamá (PA)",			"BoughtBank",	"Customer Communication Service Flow (FICO)"
"Costa Rica (CR)",		"BuyerBank",	"Google Tag Manager"
"Costa Rica (CR)",		"BoughtBank",	"Prisma"
"Costa Rica (CR)",		"BoughtBank",	"Medallia"
"Costa Rica (CR)",		"BoughtBank",	"GEMM"
"Costa Rica (CR)",		"BoughtBank",	"CIC"
"Costa Rica (CR)",		"BoughtBank",	"Customer Communication Service Flow (FICO)"
"El Salvador (SV)",		"BuyerBank",	"Generador call list"
"El Salvador (SV)",		"BuyerBank",	"Google Tag Manager"
"Honduras (HN)",		"BuyerBank",	"Google Tag Manager"
"EEUU - Miami (US)",	"BuyerBank",	"Eloqua"
"EEUU - Miami (US)",	"BuyerBank",	"Google Tag Manager"
